name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Taproot Labs","","https://icodrops.com/media/cache/e1/3e/e13e493bf73ed10bdac500575bd79a7a.webp","https://icodrops.com/taproot-labs/","Testnet Airdrop","—","—","Blockchain","Active","","Waterdrip Capital","BitValue Capital","Digital Pacific Holding","More Details","Bitcoin","","",""
"BSquared Network","","https://icodrops.com/media/cache/c2/c6/c2c69e4670cfa527557b08ba0fac5bbb.webp","https://icodrops.com/bsquared-network/","Airdrop","—","—","Blockchain Service","Active","","","","","","","","",""
"Rabby Wallet","","https://icodrops.com/media/cache/c3/b7/c3b7c8fc5aeacd3a0864936f82fd956b.webp","https://icodrops.com/rabby-wallet/","Points Farming","$25 M","—","Wallet","Active","","Sequoia Capital","Coinbase Ventures","Crypto.com","More Details","Ethereum","","",""
"ZeroLend","ZERO","https://icodrops.com/media/cache/74/eb/74ebaf90abd38a2fe73022a80f869fc9.webp","https://icodrops.com/zerolend/","Points Farming","$3 M","$72 K","Lending Platform","Active","","Morningstar Ventures","GBV Capital","Genblock Capital","More Details","zkSync","Manta Network","",""
"Xterio","XTER","https://icodrops.com/media/cache/00/26/002619d065a6087b45bd8e96cd99690c.webp","https://icodrops.com/xterio/","Airdrop for NFT Holders","$55 M","$21.03 M","Gaming","Active","","YZi Labs (prev Binance Labs)","HashKey Capital","Animoca Brands","More Details","","","",""
"Burnt Finance","BURNT","https://icodrops.com/media/cache/3f/65/3f65fcfc4179e11dc7d07ec7fb492d38.webp","https://icodrops.com/burnt-finance/","Testnet Airdrop","$36 M","$22.8 M","Blockchain","Active","","Multicoin Capital","Alliance","Arrington Capital","More Details","Burnt Finance","","",""
"Natix Network","NTXT","https://icodrops.com/media/cache/b1/d4/b1d48a0606c6fa01f8409198f8a45026.webp","https://icodrops.com/natix-network/","Incentive Activities","$13.1 M","$10.08 M","DePIN","Active","","Moonrock Capital","Big Brain Holdings","Blockchange Ventures","More Details","Own","","",""
"Cega","","https://icodrops.com/media/cache/86/89/8689b774327e93015fc406e4388dd444.webp","https://icodrops.com/cega/","Farming & Rewards","$9.3 M","—","DeFi","Active","","Pantera Capital","Coinbase Ventures","Dragonfly Capital","More Details","","","",""
"Setter","","https://icodrops.com/media/cache/ec/10/ec1082e7c8f4717e87b79d76146c5a3d.webp","https://icodrops.com/setter/","Points Farming","$5 M","—","Social","Active","","Andreessen Horowitz (a16z)","Marcy Venture Partners","Serena Williams","More Details","Multichain","","",""
"Ambit Finance","","https://icodrops.com/media/cache/16/c1/16c1d0678c9930dd75cc0cb732607123.webp","https://icodrops.com/ambit-finance/","Staking","$4.5 M","—","Lending Platform","Active","","YZi Labs (prev Binance Labs)","","","","","","",""
"Ekubo","","https://icodrops.com/media/cache/29/7e/297e001411a1d618e4886ecf7aed89a3.webp","https://icodrops.com/ekubo/","Points Farming","$12 M","$15.5 M","DeFi","Active","","Delphi Ventures","Uniswap","Ethereum","StarkNet","","","",""
