name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Gnosis Safe","","https://icodrops.com/media/cache/2d/04/2d04cf264f11ec04f66b0b2b8a42e471.webp","https://icodrops.com/gnosis-safe/","Private Stage","$100 M","$160.4 M","Wallet","Upcoming","","1kx","Blockchain Capital","Brevan Howard","More Details","Ethereum","","",""
"Crescent","","https://icodrops.com/media/cache/fb/3a/fb3a94b86975cb345805bb778974647c.webp","https://icodrops.com/crescent/","Private Stage","$5 M","$57.77 K","DEX","Upcoming","","Nathan McCauley","","","","","","",""
"Mona","","https://icodrops.com/media/cache/26/5a/265a2fc2ea80639c285d2dbb35156aa8.webp","https://icodrops.com/mona/","Private Stage","$14.6 M","$1.38 M","Social","Upcoming","","a_capital","ConsenSys","Placeholder","More Details","","","",""
"Restake Finance","RSTK","https://icodrops.com/media/cache/ee/61/ee611abb7dc49022342bc6cef6ee8efc.webp","https://icodrops.com/restake-finance/","Private Stage","$3.23 M","$299.7 K","DeFi","Upcoming","","0xJeff","AlfaDAO","bizyugo","More Details","Ethereum","","",""
"ScienceMagic.Studios","","https://icodrops.com/media/cache/35/ed/35ed23e7cc941f8441e0c4d69401a70f.webp","https://icodrops.com/sciencemagic-studios/","Private Stage","$10.3 M","—","Blockchain Service","Upcoming","","Brevan Howard","Coinbase Ventures","Digital Currency Group (DCG)","More Details","","","",""
"Shil.me","","https://icodrops.com/media/cache/63/25/63254694e078a51b5f984de455c2ab34.webp","https://icodrops.com/shil-me/","Private Stage","$1.2 M","—","Blockchain Service","Upcoming","","Big Brain Holdings","Zee Prime Capital","DWeb3 Capital","More Details","","","",""
"NVG8","NVG8","https://icodrops.com/media/cache/c1/ca/c1ca3b54b18723f9eb7a45e44b7d1972.webp","https://icodrops.com/nvg8/","Private Stage","$7.62 M","$91.24 K","Blockchain Service","Upcoming","","Alan Howard","Distributed Global","Kraken","More Details","","","",""
"Bastion","BSTN","https://icodrops.com/media/cache/71/5b/715bd159bc7ce695c64c837c10c68f7a.webp","https://icodrops.com/bastion-2/","Private Stage","$39.6 M","—","Blockchain Service","Upcoming","","Andreessen Horowitz (a16z)","Coinbase Ventures","Hashed","More Details","Aurora","","",""
"Range Protocol","","https://icodrops.com/media/cache/d8/7b/d87b8fe4c9d2e4cd459436c686def725.webp","https://icodrops.com/range-protocol/","Private Stage","$3.75 M","$2.19 M","DeFi","Upcoming","","HashKey Capital","Spark Digital Capital","Mirana Ventures","More Details","","","",""
"Pop Social","PPT","https://icodrops.com/media/cache/26/eb/26ebc7f8fbb86b7dcd8525672f73fba3.webp","https://icodrops.com/pop-social/","Private Stage","$4 M","$103.86 K","Social","Upcoming","","Fundamental Labs","Ceras Ventures","ChainLink","More Details","","","",""
"BitKeep","BKB","https://icodrops.com/media/cache/6a/39/6a39b69930db30ff3647f40d426d8110.webp","https://icodrops.com/bitkeep/","Private Stage","$45 M","$470.1 M","Wallet","Upcoming","","Dragonfly Capital","Bixin Ventures","DHVC","More Details","","","",""
"Paper","","https://icodrops.com/media/cache/c9/2f/c92f8a0be36bfe5a4e4fbfbf351ebcb5.webp","https://icodrops.com/paper/","Private Stage","$9.3 M","$16.1 K","Blockchain Service","Upcoming","","Electric Capital","Alliance","Initialized Capital","More Details","","","",""
"Co: Create","CO","https://icodrops.com/media/cache/2a/99/2a99fe69de5528fb28dae540c405b083.webp","https://icodrops.com/cocreate/","Private Stage","$25 M","—","Protocol","Upcoming","","Amy Wu","Packy McCormick","RTFKT","More Details","","","",""
"Scroll","SCR","https://icodrops.com/media/cache/04/b9/04b97f22f0c561fc5c1caf5cfcfc7adb.webp","https://icodrops.com/scroll/","Private Stage","$83 M","$47.72 M","Blockchain","Upcoming","","Bain Capital Ventures","Polychain Capital","HongShan (ex-Sequoia China)","More Details","Scroll","","",""
"BSX","","https://icodrops.com/media/cache/b7/b9/b7b9c465c8a801559404e70ff0f25846.webp","https://icodrops.com/bsx/","Private Stage","$4 M","$294.71 K","Perpetual","Upcoming","","Blockchain Capital","Bankless","CMS Holdings","More Details","Base","","",""
"Truflation","","https://icodrops.com/media/cache/7e/5f/7e5f40837f8cce371f538e87650bc7bd.webp","https://icodrops.com/truflation/","Private Stage","$6.4 M","$4.04 M","Real World Assets P…","Upcoming","","Balaji Srinivasan","Fundamental Labs","C2Ventures (Csquared)","More Details","","","",""
"Bitte (Prev. Mintbase)","","https://icodrops.com/media/cache/d9/57/d95773411b5c07c507ccebec5805238f.webp","https://icodrops.com/mintbase/","Private Stage","$15.2 M","—","Blockchain Service","Upcoming","","Coinbase Ventures","Fundamental Labs","Ryze Labs (Sino Global Capital)","More Details","","","",""
"Story Protocol","IP","https://icodrops.com/media/cache/58/e5/58e57a500eb83cefc9a075af25151944.webp","https://icodrops.com/story-protocol/","Private Stage","$216.3 M","$625.81 M","Blockchain","Upcoming","","Andreessen Horowitz (a16z)","Balaji Srinivasan","Polychain Capital","More Details","","","",""
"D3","","https://icodrops.com/media/cache/9d/9c/9d9c39a77dc342686c8c789955d44621.webp","https://icodrops.com/d3/","Private Stage","$30 M","—","Blockchain Service","Upcoming","","Paradigm","Coinbase Ventures","C2Ventures (Csquared)","More Details","","","",""
"STELSI","STLS","https://icodrops.com/media/cache/c7/5e/c75ebce067ffacfa6d3ce743f9be69b9.webp","https://icodrops.com/stelsi/","Private Stage","$100 M","$302 K","Metaverse","Upcoming","","NGC Ventures","Ethereum","","","","","",""
"Alchemy","","https://icodrops.com/media/cache/a6/2d/a62dafe63953e810559c493e54604e35.webp","https://icodrops.com/alchemy/","Private Stage","$545 M","—","Platform","Upcoming","","Andreessen Horowitz (a16z)","Lightspeed Venture Partners","Pantera Capital","More Details","","","",""
"Chain of Alliacne","COA","https://icodrops.com/media/cache/ce/01/ce012d83c000553ce01597df68f55293.webp","https://icodrops.com/Chain-of-Alliacne/","Private Stage","$2.4 M","—","Gaming","Upcoming","","The Spartan Group","Animoca Brands","Arche Fund","More Details","Ethereum","","",""
"Exotic Markets","EXO","https://icodrops.com/media/cache/ca/25/ca256526d7e3815c2a6bbcedbaab8956.webp","https://icodrops.com/exotic-markets/","Private Stage","$5 M","$1.48 M","Oracle","Upcoming","","Multicoin Capital","Paradigm","Ascensive Assets","More Details","","","",""
"CRD Network","CRD","https://icodrops.com/media/cache/d5/a2/d5a29374a4fa08b8c463c9d35157a38a.webp","https://icodrops.com/crd-network/","Private Stage","—","$76.59 K","DeFi","Upcoming","","","","","","","","",""
"Timeswap","TIME","https://icodrops.com/media/cache/56/4a/564ab7cfd50faf4a2b66d12df73b4411.webp","https://icodrops.com/timeswap/","Private Stage","$160.08 K","$1.01 M","DeFi","Upcoming","+2","Multicoin Capital","DeFiance Capital","Mechanism Capital","More Details","Base","Optimism","Ethereum","More Details"
"Aelin","","https://icodrops.com/media/cache/b1/ea/b1ea60061aab8d2132a9143cc66283c2.webp","https://icodrops.com/aelin/","Private Stage","—","$1.88 M","DeFi","Upcoming","","","","","","","","",""
"FIAT DAO","FDT","https://icodrops.com/media/cache/3c/0e/3c0e7caeb57935f707bc4d9a2dd7945c.webp","https://icodrops.com/fiat-dao/","Private Stage","$2 M","$965.5 K","DeFi","Upcoming","","Dragonfly Capital","Mechanism Capital","ParaFi Capital","More Details","","","",""
"Arcana Network","XAR","https://icodrops.com/media/cache/4e/dc/4edc102c069882b3889b7db7a6a80f00.webp","https://icodrops.com/arcana-network/","Private Stage","$2.67 M","$3.5 M","Web 3.0","Upcoming","","Balaji Srinivasan","Digital Currency Group (DCG)","Fenbushi Capital","More Details","","","",""
"Drift Protocol","","https://icodrops.com/media/cache/40/37/40372657f0aacb47fb2afc6cb5b04ff4.webp","https://icodrops.com/drift-protocol/","Private Stage","$52.3 M","$44.83 M","Perpetual","Upcoming","","Blockchain Capital","Multicoin Capital","Polychain Capital","More Details","Solana","","",""
"Spectral","","https://icodrops.com/media/cache/a0/89/a0893f260e9cf00c52c23fcb9bc3e759.webp","https://icodrops.com/spectral/","Private Stage","$29.75 M","$8.64 M","Blockchain Service","Upcoming","","Polychain Capital","Divergence Ventures","Galaxy","More Details","","","",""
"Stardust","","https://icodrops.com/media/cache/1d/73/1d73c1f44f640c4daa533f70baa68a8f.webp","https://icodrops.com/stardust/","Private Stage","$36.7 M","$47.1 K","DeFi","Upcoming","","Blockchain Capital","Framework Ventures","Multicoin Capital","More Details","","","",""
"Apollo","APOLLO","https://icodrops.com/media/cache/4f/f0/4ff06f30a4f0acabf24fb207bda2c619.webp","https://icodrops.com/apollo/","Private Stage","$2.25 M","$266.59 K","Yield Aggregator","Upcoming","","Pantera Capital","Do Kwon","PNYX Ventures","More Details","","","",""
"XREX","","https://icodrops.com/media/cache/6c/2b/6c2b54e63c5f375aa0428529fc1b9388.webp","https://icodrops.com/xrex/","Private Stage","$42.75 M","—","Blockchain Service","Upcoming","","AppWorks","BitoPro","Metaplanet Holdings","More Details","","","",""
"Tanssi Network","","https://icodrops.com/media/cache/7f/9c/7f9c25ddf84164d1a82e7e17ed9e500e.webp","https://icodrops.com/tanssi-network/","Private Stage","$9 M","$375.66 K","Blockchain Service","Upcoming","","Arrington Capital","HashKey Capital","Hypersphere Ventures","More Details","","","",""
"Prisma","","https://icodrops.com/media/cache/0a/79/0a7975d9ceaa1c10f573bc18455e6652.webp","https://icodrops.com/prisma/","Private Stage","—","$2.54 M","Liquid Staking Prot…","Upcoming","","0xMaki","OKX Ventures","Tetranode","More Details","","","",""
"Fusionist","","https://icodrops.com/media/cache/e3/31/e331fc92282ed16ef7b5a49ae73192ba.webp","https://icodrops.com/fusionist/","Private Stage","$6.6 M","$18.11 M","Gaming","Upcoming","","YZi Labs (prev Binance Labs)","FunPlus","Ethereum","","","","",""
"Mnemonic","","https://icodrops.com/media/cache/23/8a/238a2e78c6eb0b014dcc95a4946d9b98.webp","https://icodrops.com/mnemonic/","Private Stage","$10 M","—","NFT","Upcoming","","Coinbase Ventures","Tribe Capital","Kenetic Capital","More Details","","","",""
"TapiocaDAO","TAP","https://icodrops.com/media/cache/ef/f7/eff7190cbb6cab0cd949e7a49e8ae1bb.webp","https://icodrops.com/tapiocadao/","Private Stage","$6.31 M","$134 K","DAO","Upcoming","","DCF GOD","Magnus Capital","coinflipcanada","More Details","","","",""
"Earn Network","EARN","https://icodrops.com/media/cache/9a/40/9a40603c6be26ef0666e0adecaa4067e.webp","https://icodrops.com/earn-network/","Private Stage","$2.7 M","$902","DeFi","Upcoming","","Bixin Ventures","Mirana Ventures","Shima Capital","More Details","Ethereum","","",""
